Team,Result,For,Aga,Diff,HTf,HTa,Opposition,Ground,Match DateAscending
England,lost,7,13,-6,4,9,v Scotland,Murrayfield,17-Mar-90
England,won,21,12,9,9,6,v Scotland,Twickenham,16-Feb-91
England,won,9,6,3,3,6,v Scotland,Murrayfield,26-Oct-91
England,won,25,7,18,10,7,v Scotland,Murrayfield,18-Jan-92
England,won,26,12,14,11,6,v Scotland,Twickenham,06-Mar-93
England,won,15,14,1,3,5,v Scotland,Murrayfield,05-Feb-94
England,won,24,12,12,12,6,v Scotland,Twickenham,18-Mar-95
England,won,18,9,9,12,3,v Scotland,Murrayfield,02-Mar-96
England,won,41,13,28,16,10,v Scotland,Twickenham,01-Feb-97
England,won,34,20,14,6,6,v Scotland,Murrayfield,22-Mar-98
England,won,24,21,3,17,7,v Scotland,Twickenham,20-Feb-99
England,lost,13,19,-6,10,9,v Scotland,Murrayfield,02-Apr-00
England,won,43,3,40,22,3,v Scotland,Twickenham,03-Mar-01
England,won,29,3,26,12,3,v Scotland,Murrayfield,02-Feb-02
England,won,40,9,31,16,9,v Scotland,Twickenham,22-Mar-03
England,won,35,13,22,20,6,v Scotland,Murrayfield,21-Feb-04
England,won,43,22,21,26,10,v Scotland,Twickenham,19-Mar-05
England,lost,12,18,-6,3,3,v Scotland,Murrayfield,25-Feb-06
England,won,42,20,22,17,10,v Scotland,Twickenham,03-Feb-07
England,lost,9,15,-6,3,9,v Scotland,Murrayfield,08-Mar-08
England,won,26,12,14,15,3,v Scotland,Twickenham,21-Mar-09
England,draw,15,15,0,6,9,v Scotland,Murrayfield,13-Mar-10
England,won,22,16,6,9,9,v Scotland,Twickenham,13-Mar-11
England,won,16,12,4,3,9,v Scotland,Auckland,01-Oct-11
England,won,13,6,7,3,6,v Scotland,Murrayfield,04-Feb-12
England,won,38,18,20,19,11,v Scotland,Twickenham,02-Feb-13
England,won,20,0,20,13,0,v Scotland,Murrayfield,08-Feb-14
England,won,25,13,12,10,13,v Scotland,Twickenham,14-Mar-15
England,won,15,9,6,7,6,v Scotland,Murrayfield,06-Feb-16
England,won,61,21,40,30,7,v Scotland,Twickenham,11-Mar-17
England,lost,13,25,-12,6,22,v Scotland,Murrayfield,24-Feb-18
England,draw,38,38,0,31,7,v Scotland,Twickenham,16-Mar-19
England,won,13,6,7,3,0,v Scotland,Murrayfield,08-Feb-20
