Team,Result,For,Aga,Diff,HTf,HTa,Opposition,Ground,Match Date,,,,,,,,,,,,,,,
England,lost,21,34,-13,6,14,v Wales,Cardiff,15-Apr-67,,,,,,,,,,,,,,,
England,draw,11,11,0,8,3,v Wales,Twickenham,20-Jan-68,,,,,,,,,,,,,,,
England,lost,9,30,-21,3,3,v Wales,Cardiff,12-Apr-69,,,,,,,,,,,,,,,
England,lost,13,17,-4,13,3,v Wales,Twickenham,28-Feb-70,,,,,,,,,,,,,,,
England,lost,6,22,-16,3,16,v Wales,Cardiff,16-Jan-71,,,,,,,,,,,,,,,
England,lost,3,12,-9,3,6,v Wales,Twickenham,15-Jan-72,,,,,,,,,,,,,,,
England,lost,9,25,-16,6,12,v Wales,Cardiff,20-Jan-73,,,,,,,,,,,,,,,
England,won,16,12,4,7,9,v Wales,Twickenham,16-Mar-74,,,,,,,,,,,,,,,
England,lost,4,20,-16,0,16,v Wales,Cardiff,15-Feb-75,,,,,,,,,,,,,,,
England,lost,9,21,-12,6,15,v Wales,Twickenham,17-Jan-76,,,,,,,,,,,,,,,
England,lost,9,14,-5,6,7,v Wales,Cardiff,05-Mar-77,,,,,,,,,,,,,,,
England,lost,6,9,-3,6,3,v Wales,Twickenham,04-Feb-78,,,,,,,,,,,,,,,
England,lost,3,27,-24,3,7,v Wales,Cardiff,17-Mar-79,,,,,,,,,,,,,,,
England,won,9,8,1,3,4,v Wales,Twickenham,16-Feb-80,,,,,,,,,,,,,,,
England,lost,19,21,-2,10,12,v Wales,Cardiff,17-Jan-81,,,,,,,,,,,,,,,
England,won,17,7,10,14,7,v Wales,Twickenham,06-Mar-82,,,,,,,,,,,,,,,
England,draw,13,13,0,7,6,v Wales,Cardiff,05-Feb-83,,,,,,,,,,,,,,,
England,lost,15,24,-9,9,6,v Wales,Twickenham,17-Mar-84,,,,,,,,,,,,,,,
England,lost,15,24,-9,12,12,v Wales,Cardiff,20-Apr-85,,,,,,,,,,,,,,,
England,won,21,18,3,12,9,v Wales,Twickenham,18-Jan-86,,,,,,,,,,,,,,,
England,lost,12,19,-7,9,12,v Wales,Cardiff,07-Mar-87,,,,,,,,,,,,,,,
England,lost,3,16,-13,0,6,v Wales,Brisbane,08-Jun-87,,,,,,,,,,,,,,,
England,lost,3,11,-8,-,-,v Wales,Twickenham,06-Feb-88,,,,,,,,,,,,,,,
England,lost,9,12,-3,9,6,v Wales,Cardiff,18-Mar-89,,,,,,,,,,,,,,,
England,won,34,6,28,16,0,v Wales,Twickenham,17-Feb-90,,,,,,,,,,,,,,,
England,won,25,6,19,12,3,v Wales,Cardiff,19-Jan-91,,,,,,,,,,,,,,,
England,won,24,0,24,15,0,v Wales,Twickenham,07-Mar-92,,,,,,,,,,,,,,,
England,lost,9,10,-1,9,10,v Wales,Cardiff,06-Feb-93,,,,,,,,,,,,,,,
England,won,15,8,7,7,3,v Wales,Twickenham,19-Mar-94,,,,,,,,,,,,,,,
England,won,23,9,14,10,3,v Wales,Cardiff,18-Feb-95,,,,,,,,,,,,,,,
England,won,21,15,6,7,5,v Wales,Twickenham,03-Feb-96,,,,,,,,,,,,,,,
England,won,34,13,21,6,3,v Wales,Cardiff,15-Mar-97,,,,,,,,,,,,,,,
England,won,60,26,34,34,12,v Wales,Twickenham,21-Feb-98,,,,,,,,,,,,,,,
England,lost,31,32,-1,25,18,v Wales,Wembley,11-Apr-99,,,,,,,,,,,,,,,
England,won,46,12,34,19,12,v Wales,Twickenham,04-Mar-00,,,,,,,,,,,,,,,
England,won,44,15,29,29,8,v Wales,Millennium Stadium,03-Feb-01,,,,,,,,,,,,,,,
England,won,50,10,40,19,3,v Wales,Twickenham,23-Mar-02,,,,,,,,,,,,,,,
England,won,26,9,17,9,6,v Wales,Millennium Stadium,22-Feb-03,,,,,,,,,,,,,,,
England,won,43,9,34,16,9,v Wales,Millennium Stadium,23-Aug-03,,,,,,,,,,,,,,,
England,won,28,17,11,3,10,v Wales,Brisbane,09-Nov-03,,,,,,,,,,,,,,,
England,won,31,21,10,16,9,v Wales,Twickenham,20-Mar-04,,,,,,,,,,,,,,,
England,lost,9,11,-2,3,8,v Wales,Millennium Stadium,05-Feb-05,,,,,,,,,,,,,,,
England,won,47,13,34,15,10,v Wales,Twickenham,04-Feb-06,,,,,,,,,,,,,,,
England,lost,18,27,-9,15,18,v Wales,Millennium Stadium,17-Mar-07,,,,,,,,,,,,,,,
England,won,62,5,57,22,0,v Wales,Twickenham,04-Aug-07,,,,,,,,,,,,,,,
England,lost,19,26,-7,16,6,v Wales,Twickenham,02-Feb-08,,,,,,,,,,,,,,,
England,lost,15,23,-8,8,9,v Wales,Millennium Stadium,14-Feb-09,,,,,,,,,,,,,,,
England,won,30,17,13,13,3,v Wales,Twickenham,06-Feb-10,,,,,,,,,,,,,,,
England,won,26,19,7,13,6,v Wales,Millennium Stadium,04-Feb-11,,,,,,,,,,,,,,,
England,won,23,19,4,13,7,v Wales,Twickenham,06-Aug-11,,,,,,,,,,,,,,,
England,lost,9,19,-10,6,6,v Wales,Millennium Stadium,13-Aug-11,,,,,,,,,,,,,,,
England,lost,12,19,-7,9,6,v Wales,Twickenham,25-Feb-12,,,,,,,,,,,,,,,
England,lost,3,30,-27,3,9,v Wales,Millennium Stadium,16-Mar-13,,,,,,,,,,,,,,,
England,won,29,18,11,20,15,v Wales,Twickenham,09-Mar-14,,,,,,,,,,,,,,,
England,won,21,16,5,8,16,v Wales,Millennium Stadium,06-Feb-15,,,,,,,,,,,,,,,
England,lost,25,28,-3,16,9,v Wales,Twickenham,26-Sep-15,,,,,,,,,,,,,,,
England,won,25,21,4,16,0,v Wales,Twickenham,12-Mar-16,,,,,,,,,,,,,,,
England,won,27,13,14,10,13,v Wales,Twickenham,29-May-16,,,,,,,,,,,,,,,
England,won,21,16,5,8,13,v Wales,Millennium Stadium,11-Feb-17,,,,,,,,,,,,,,,
England,won,12,6,6,12,3,v Wales,Twickenham,10-Feb-18,,,,,,,,,,,,,,,
England,lost,13,21,-8,10,3,v Wales,Millennium Stadium,23-Feb-19,,,,,,,,,,,,,,,
England,won,33,19,14,21,7,v Wales,Twickenham,11-Aug-19,,,,,,,,,,,,,,,
England,lost,6,13,-7,0,10,v Wales,Millennium Stadium,17-Aug-19,,,,,,,,,,,,,,,
