Team,Result,For,Aga,Diff,HTf,HTa,Opposition,Ground,Match Date
England,lost,0,15,-15,0,9,v New Zealand,Crystal Palace,02-Dec-05
England,lost,3,16,-13,3,13,v Wales,Richmond,13-Jan-06
England,lost,6,16,-10,0,8,v Ireland,Leicester,10-Feb-06
England,won,9,3,6,3,3,v Scotland,Inverleith,17-Mar-06
England,won,35,8,27,22,0,v France,Parc des Princes,22-Mar-06
England,draw,3,3,0,0,3,v South Africa,Crystal Palace,08-Dec-06
England,won,41,13,28,13,13,v France,Richmond,05-Jan-07
England,lost,0,22,-22,0,13,v Wales,Swansea,12-Jan-07
England,lost,9,17,-8,0,14,v Ireland,Lansdowne Road,09-Feb-07
England,lost,3,8,-5,-,-,v Scotland,Blackheath,16-Mar-07
England,won,19,0,19,6,0,v France,Colombes,01-Jan-08
England,lost,18,28,-10,8,15,v Wales,Bristol,18-Jan-08
England,won,13,3,10,3,0,v Ireland,Richmond,08-Feb-08
England,lost,10,16,-6,10,7,v Scotland,Inverleith,21-Mar-08
England,lost,3,9,-6,3,3,v Australia,Blackheath,09-Jan-09
England,lost,0,8,-8,0,8,v Wales,Cardiff,16-Jan-09
England,won,22,0,22,10,0,v France,Leicester,30-Jan-09
England,won,11,5,6,5,0,v Ireland,Lansdowne Road,13-Feb-09
England,lost,8,18,-10,8,3,v Scotland,Richmond,20-Mar-09
England,won,11,6,5,11,3,v Wales,Twickenham,15-Jan-10
England,draw,0,0,0,-,-,v Ireland,Twickenham,12-Feb-10
England,won,11,3,8,8,0,v France,Parc des Princes,03-Mar-10
England,won,14,5,9,5,5,v Scotland,Inverleith,19-Mar-10
England,lost,11,15,-4,3,6,v Wales,Swansea,21-Jan-11
England,won,37,0,37,8,0,v France,Twickenham,28-Jan-11
England,lost,0,3,-3,-,-,v Ireland,Lansdowne Road,11-Feb-11
England,won,13,8,5,8,3,v Scotland,Twickenham,18-Mar-11
England,won,8,0,8,-,-,v Wales,Twickenham,20-Jan-12
England,won,15,0,15,3,0,v Ireland,Twickenham,10-Feb-12
England,lost,3,8,-5,-,-,v Scotland,Inverleith,16-Mar-12
England,won,18,8,10,14,0,v France,Parc des Princes,08-Apr-12
England,lost,3,9,-6,3,3,v South Africa,Twickenham,04-Jan-13
England,won,12,0,12,-,-,v Wales,Cardiff,18-Jan-13
England,won,20,0,20,6,0,v France,Twickenham,25-Jan-13
England,won,15,4,11,9,0,v Ireland,Lansdowne Road,08-Feb-13
England,won,3,0,3,3,0,v Scotland,Twickenham,15-Mar-13
England,won,10,9,1,5,4,v Wales,Twickenham,17-Jan-14
England,won,17,12,5,6,7,v Ireland,Twickenham,14-Feb-14
England,won,16,15,1,3,3,v Scotland,Inverleith,21-Mar-14
England,won,39,13,26,13,8,v France,Colombes,13-Apr-14
England,lost,5,19,-14,5,3,v Wales,Swansea,17-Jan-20
England,won,8,3,5,3,3,v France,Twickenham,31-Jan-20
England,won,14,11,3,0,3,v Ireland,Lansdowne Road,14-Feb-20
England,won,13,4,9,10,4,v Scotland,Twickenham,20-Mar-20
England,won,18,3,15,12,0,v Wales,Twickenham,15-Jan-21
England,won,15,0,15,3,0,v Ireland,Twickenham,12-Feb-21
England,won,18,0,18,8,0,v Scotland,Inverleith,19-Mar-21
England,won,10,6,4,10,3,v France,Colombes,28-Mar-21
England,lost,6,28,-22,3,17,v Wales,Cardiff,21-Jan-22
England,won,12,3,9,6,3,v Ireland,Lansdowne Road,11-Feb-22
England,draw,11,11,0,6,0,v France,Twickenham,25-Feb-22
England,won,11,5,6,0,5,v Scotland,Twickenham,18-Mar-22
England,won,7,3,4,3,0,v Wales,Twickenham,20-Jan-23
England,won,23,5,18,15,0,v Ireland,Leicester,10-Feb-23
England,won,8,6,2,3,3,v Scotland,Inverleith,17-Mar-23
England,won,12,3,9,3,3,v France,Colombes,02-Apr-23
England,won,17,9,8,11,3,v Wales,Swansea,19-Jan-24
England,won,14,3,11,3,3,v Ireland,Belfast,09-Feb-24
England,won,19,7,12,9,0,v France,Twickenham,23-Feb-24
England,won,19,0,19,5,0,v Scotland,Twickenham,15-Mar-24
England,lost,11,17,-6,3,9,v New Zealand,Twickenham,03-Jan-25
England,won,12,6,6,6,3,v Wales,Twickenham,17-Jan-25
England,draw,6,6,0,6,0,v Ireland,Twickenham,14-Feb-25
England,lost,11,14,-3,8,5,v Scotland,Murrayfield,21-Mar-25
England,won,13,11,2,13,5,v France,Colombes,13-Apr-25
England,draw,3,3,0,3,0,v Wales,Cardiff,16-Jan-26
England,lost,15,19,-4,10,6,v Ireland,Lansdowne Road,13-Feb-26
England,won,11,0,11,6,0,v France,Twickenham,27-Feb-26
England,lost,9,17,-8,3,14,v Scotland,Twickenham,20-Mar-26
England,won,11,9,2,11,6,v Wales,Twickenham,15-Jan-27
England,won,8,6,2,0,3,v Ireland,Twickenham,12-Feb-27
England,lost,13,21,-8,8,9,v Scotland,Murrayfield,19-Mar-27
England,lost,0,3,-3,0,3,v France,Colombes,02-Apr-27
England,won,18,11,7,15,5,v Australia,Twickenham,07-Jan-28
England,won,10,8,2,10,3,v Wales,Swansea,21-Jan-28
England,won,7,6,1,0,3,v Ireland,Lansdowne Road,11-Feb-28
England,won,18,8,10,10,3,v France,Twickenham,25-Feb-28
England,won,6,0,6,3,0,v Scotland,Twickenham,17-Mar-28
England,won,8,3,5,3,0,v Wales,Twickenham,19-Jan-29
England,lost,5,6,-1,0,3,v Ireland,Twickenham,09-Feb-29
England,lost,6,12,-6,3,0,v Scotland,Murrayfield,16-Mar-29
England,won,16,6,10,8,3,v France,Colombes,01-Apr-29
England,won,11,3,8,3,0,v Wales,Cardiff,18-Jan-30
England,lost,3,4,-1,3,0,v Ireland,Lansdowne Road,08-Feb-30
England,won,11,5,6,6,5,v France,Twickenham,22-Feb-30
England,draw,0,0,0,-,-,v Scotland,Twickenham,15-Mar-30
England,draw,11,11,0,8,6,v Wales,Twickenham,17-Jan-31
England,lost,5,6,-1,-,-,v Ireland,Twickenham,14-Feb-31
England,lost,19,28,-9,13,20,v Scotland,Murrayfield,21-Mar-31
England,lost,13,14,-1,5,4,v France,Colombes,06-Apr-31
England,lost,0,7,-7,0,3,v South Africa,Twickenham,02-Jan-32
England,lost,5,12,-7,-,-,v Wales,Swansea,16-Jan-32
England,won,11,8,3,6,3,v Ireland,Lansdowne Road,13-Feb-32
England,won,16,3,13,6,3,v Scotland,Twickenham,19-Mar-32
England,lost,3,7,-4,3,0,v Wales,Twickenham,21-Jan-33
England,won,17,6,11,9,3,v Ireland,Twickenham,11-Feb-33
England,lost,0,3,-3,0,3,v Scotland,Murrayfield,18-Mar-33
England,won,9,0,9,6,0,v Wales,Cardiff,20-Jan-34
England,won,13,3,10,8,3,v Ireland,Lansdowne Road,10-Feb-34
England,won,6,3,3,3,3,v Scotland,Twickenham,17-Mar-34
England,draw,3,3,0,-,-,v Wales,Twickenham,19-Jan-35
England,won,14,3,11,5,0,v Ireland,Twickenham,09-Feb-35
England,lost,7,10,-3,4,10,v Scotland,Murrayfield,16-Mar-35
England,won,13,0,13,6,0,v New Zealand,Twickenham,04-Jan-36
England,draw,0,0,0,-,-,v Wales,Swansea,18-Jan-36
England,lost,3,6,-3,3,0,v Ireland,Lansdowne Road,08-Feb-36
England,won,9,8,1,9,8,v Scotland,Twickenham,21-Mar-36
England,won,4,3,1,4,3,v Wales,Twickenham,16-Jan-37
England,won,9,8,1,-,-,v Ireland,Twickenham,13-Feb-37
England,won,6,3,3,3,0,v Scotland,Murrayfield,20-Mar-37
England,lost,8,14,-6,3,9,v Wales,Cardiff,15-Jan-38
England,won,36,14,22,23,0,v Ireland,Lansdowne Road,12-Feb-38
England,lost,16,21,-5,9,12,v Scotland,Twickenham,19-Mar-38
England,won,3,0,3,-,-,v Wales,Twickenham,21-Jan-39
England,lost,0,5,-5,-,-,v Ireland,Twickenham,11-Feb-39
England,won,9,6,3,6,6,v Scotland,Murrayfield,18-Mar-39
England,won,9,6,3,5,3,v Wales,Cardiff,18-Jan-47
England,lost,0,22,-22,0,6,v Ireland,Lansdowne Road,08-Feb-47
England,won,24,5,19,14,0,v Scotland,Twickenham,15-Mar-47
England,won,6,3,3,3,0,v France,Twickenham,19-Apr-47
England,lost,0,11,-11,0,3,v Australia,Twickenham,03-Jan-48
England,draw,3,3,0,3,0,v Wales,Twickenham,17-Jan-48
England,lost,10,11,-1,5,5,v Ireland,Twickenham,14-Feb-48
England,lost,3,6,-3,3,0,v Scotland,Murrayfield,20-Mar-48
England,lost,0,15,-15,0,3,v France,Colombes,29-Mar-48
England,lost,3,9,-6,3,3,v Wales,Cardiff,15-Jan-49
England,lost,5,14,-9,5,9,v Ireland,Lansdowne Road,12-Feb-49
England,won,8,3,5,5,0,v France,Twickenham,26-Feb-49
England,won,19,3,16,3,0,v Scotland,Twickenham,19-Mar-49
England,lost,5,11,-6,5,3,v Wales,Twickenham,21-Jan-50
England,won,3,0,3,3,0,v Ireland,Twickenham,11-Feb-50
England,lost,3,6,-3,3,3,v France,Colombes,25-Feb-50
England,lost,11,13,-2,3,8,v Scotland,Murrayfield,18-Mar-50
England,lost,5,23,-18,0,8,v Wales,Swansea,20-Jan-51
England,lost,0,3,-3,-,-,v Ireland,Lansdowne Road,10-Feb-51
England,lost,3,11,-8,3,5,v France,Twickenham,24-Feb-51
England,won,5,3,2,5,0,v Scotland,Twickenham,17-Mar-51
England,lost,3,8,-5,3,5,v South Africa,Twickenham,05-Jan-52
England,lost,6,8,-2,6,5,v Wales,Twickenham,19-Jan-52
England,won,19,3,16,5,0,v Scotland,Murrayfield,15-Mar-52
England,won,3,0,3,3,0,v Ireland,Twickenham,29-Mar-52
England,won,6,3,3,0,3,v France,Colombes,05-Apr-52
England,won,8,3,5,5,3,v Wales,Cardiff,17-Jan-53
England,draw,9,9,0,3,0,v Ireland,Lansdowne Road,14-Feb-53
England,won,11,0,11,6,0,v France,Twickenham,28-Feb-53
England,won,26,8,18,11,3,v Scotland,Twickenham,21-Mar-53
England,won,9,6,3,3,3,v Wales,Twickenham,16-Jan-54
England,lost,0,5,-5,0,5,v New Zealand,Twickenham,30-Jan-54
England,won,14,3,11,6,3,v Ireland,Twickenham,13-Feb-54
England,won,13,3,10,5,0,v Scotland,Murrayfield,20-Mar-54
England,lost,3,11,-8,3,3,v France,Colombes,10-Apr-54
England,lost,0,3,-3,0,3,v Wales,Cardiff,22-Jan-55
England,draw,6,6,0,6,3,v Ireland,Lansdowne Road,12-Feb-55
England,lost,9,16,-7,6,3,v France,Twickenham,26-Feb-55
England,won,9,6,3,9,3,v Scotland,Twickenham,19-Mar-55
England,lost,3,8,-5,0,5,v Wales,Twickenham,21-Jan-56
England,won,20,0,20,3,0,v Ireland,Twickenham,11-Feb-56
England,won,11,6,5,11,6,v Scotland,Murrayfield,17-Mar-56
England,lost,9,14,-5,6,6,v France,Colombes,14-Apr-56
England,won,3,0,3,3,0,v Wales,Cardiff,19-Jan-57
England,won,6,0,6,3,0,v Ireland,Lansdowne Road,09-Feb-57
England,won,9,5,4,6,0,v France,Twickenham,23-Feb-57
England,won,16,3,13,3,0,v Scotland,Twickenham,16-Mar-57
England,draw,3,3,0,0,3,v Wales,Twickenham,18-Jan-58
England,won,9,6,3,0,3,v Australia,Twickenham,01-Feb-58
England,won,6,0,6,6,0,v Ireland,Twickenham,08-Feb-58
England,won,14,0,14,11,0,v France,Colombes,01-Mar-58
England,draw,3,3,0,-,-,v Scotland,Murrayfield,15-Mar-58
England,lost,0,5,-5,0,5,v Wales,Cardiff,17-Jan-59
England,won,3,0,3,3,0,v Ireland,Lansdowne Road,14-Feb-59
England,draw,3,3,0,3,3,v France,Twickenham,28-Feb-59
England,draw,3,3,0,3,3,v Scotland,Twickenham,21-Mar-59
England,won,14,6,8,14,0,v Wales,Twickenham,16-Jan-60
England,won,8,5,3,0,5,v Ireland,Twickenham,13-Feb-60
England,draw,3,3,0,3,3,v France,Colombes,27-Feb-60
England,won,21,12,9,16,6,v Scotland,Murrayfield,19-Mar-60
England,lost,0,5,-5,0,5,v South Africa,Twickenham,07-Jan-61
England,lost,3,6,-3,0,6,v Wales,Cardiff,21-Jan-61
England,lost,8,11,-3,0,6,v Ireland,Lansdowne Road,11-Feb-61
England,draw,5,5,0,-,-,v France,Twickenham,25-Feb-61
England,won,6,0,6,3,0,v Scotland,Twickenham,18-Mar-61
England,draw,0,0,0,-,-,v Wales,Twickenham,20-Jan-62
England,won,16,0,16,8,0,v Ireland,Twickenham,10-Feb-62
England,lost,0,13,-13,0,5,v France,Colombes,24-Feb-62
England,draw,3,3,0,3,3,v Scotland,Murrayfield,17-Mar-62
England,won,13,6,7,5,0,v Wales,Cardiff,19-Jan-63
England,draw,0,0,0,-,-,v Ireland,Lansdowne Road,09-Feb-63
England,won,6,5,1,3,5,v France,Twickenham,23-Feb-63
England,won,10,8,2,5,8,v Scotland,Twickenham,16-Mar-63
England,lost,11,21,-10,6,0,v New Zealand,Auckland,25-May-63
England,lost,6,9,-3,3,6,v New Zealand,Christchurch,01-Jun-63
England,lost,9,18,-9,6,18,v Australia,Sydney,04-Jun-63
England,lost,0,14,-14,0,9,v New Zealand,Twickenham,04-Jan-64
England,draw,6,6,0,6,3,v Wales,Twickenham,18-Jan-64
England,lost,5,18,-13,0,3,v Ireland,Twickenham,08-Feb-64
England,won,6,3,3,3,3,v France,Colombes,22-Feb-64
England,lost,6,15,-9,0,10,v Scotland,Murrayfield,21-Mar-64
England,lost,3,14,-11,0,3,v Wales,Cardiff,16-Jan-65
England,lost,0,5,-5,-,-,v Ireland,Lansdowne Road,13-Feb-65
England,won,9,6,3,3,3,v France,Twickenham,27-Feb-65
England,draw,3,3,0,-,-,v Scotland,Twickenham,20-Mar-65
England,lost,6,11,-5,3,3,v Wales,Twickenham,15-Jan-66
England,draw,6,6,0,6,3,v Ireland,Twickenham,12-Feb-66
England,lost,0,13,-13,0,5,v France,Colombes,26-Feb-66
England,lost,3,6,-3,0,3,v Scotland,Murrayfield,19-Mar-66
England,lost,11,23,-12,6,9,v Australia,Twickenham,07-Jan-67
England,won,8,3,5,3,0,v Ireland,Lansdowne Road,11-Feb-67
